CD_OPERACAO;DT_INICIO;DT_FIM;NM_EMPRESA;NM_MESA;NM_ESTRATEGIA;NM_CENTRALIZADOR;NM_GESTOR;NM_SUBGESTOR;NM_SUBPRODUTO;NM_CARACTERISTICA;CD_ATIVO_OBJETO;QUANTIDADE;ID_PRECO
722778690;04/01/2018;03/09/2018;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;375000000;7860
722778702;04/01/2018;02/01/2020;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-495000000;7829
722778711;04/01/2018;03/06/2019;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-495000000;7860
722778718;04/01/2018;02/12/2019;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-495000000;7860
722778721;04/01/2018;02/05/2018;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-105000000;7829
722778743;04/01/2018;02/07/2018;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;375000000;7860
722778750;04/01/2018;01/03/2018;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-375000000;7829
722778760;04/01/2018;02/07/2018;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-375000000;7829
722778764;04/01/2018;03/09/2018;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-125000000;7860
722778767;04/01/2018;01/08/2019;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;495000000;7860
722778770;04/01/2018;02/07/2018;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-125000000;7829
722778776;04/01/2018;02/01/2019;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-495000000;7829
722778799;04/01/2018;02/04/2018;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;100000000;7860
722778818;04/01/2018;01/11/2019;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-495000000;7860
722778824;04/01/2018;03/02/2020;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-495000000;7829
722778825;04/01/2018;03/02/2020;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;495000000;7860
722778831;04/01/2018;04/05/2020;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;495000000;7829
722778841;04/01/2018;01/10/2020;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;495000000;7860
722778846;04/01/2018;04/01/2021;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-495000000;7829
722778848;04/01/2018;01/02/2018;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-375000000;7829
722778855;04/01/2018;01/06/2018;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;395000000;7860
722778856;04/01/2018;01/12/2020;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-495000000;7829
722778857;04/01/2018;01/12/2020;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;495000000;7860
722778862;04/01/2018;01/02/2018;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;375000000;7829
722779392;04/01/2018;11/05/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;195,5679971;7841
722779397;04/01/2018;14/05/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-502,6617305;7829
722779400;04/01/2018;17/05/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;96,7254275;7841
722779403;04/01/2018;18/05/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-216,6042743;7841
722779414;04/01/2018;28/05/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;357,9959004;7841
722779437;04/01/2018;14/06/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-195,2909257;7841
722778693;04/01/2018;01/10/2018;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-495000000;7829
722778697;04/01/2018;01/07/2019;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;495000000;7860
722778698;04/01/2018;03/08/2020;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;495000000;7829
722778701;04/01/2018;04/05/2020;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;495000000;7860
722778706;04/01/2018;02/03/2020;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-495000000;7860
722778717;04/01/2018;01/09/2020;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-495000000;7860
722778723;04/01/2018;01/06/2020;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;495000000;7860
722778726;04/01/2018;02/04/2018;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-100000000;7829
722778727;04/01/2018;01/02/2018;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;125000000;7829
722778737;04/01/2018;01/03/2018;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;125000000;7860
722778739;04/01/2018;01/06/2018;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-395000000;7829
722778740;04/01/2018;01/08/2018;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;350000000;7829
722778743;04/01/2018;02/07/2018;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;375000000;7829
722778744;04/01/2018;03/12/2018;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-495000000;7829
722778746;04/01/2018;03/02/2020;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-495000000;7829
722778750;04/01/2018;01/03/2018;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-375000000;7860
722778753;04/01/2018;01/03/2018;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;375000000;7860
722778767;04/01/2018;01/08/2019;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;495000000;7829
722778770;04/01/2018;02/07/2018;empfff;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-125000000;7860
722778793;04/01/2018;01/03/2019;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;495000000;7860
722778795;04/01/2018;02/05/2018;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;105000000;7829
722778798;04/01/2018;01/03/2018;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-125000000;7829
722778801;04/01/2018;02/04/2018;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-100000000;7829
722778807;04/01/2018;02/05/2019;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;495000000;7860
722778811;04/01/2018;01/07/2019;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;495000000;7860
722778817;04/01/2018;01/10/2019;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;495000000;7860
722778826;04/01/2018;02/09/2019;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-495000000;7829
722778828;04/01/2018;01/04/2020;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-495000000;7829
722778830;04/01/2018;04/05/2020;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-495000000;7860
722778831;04/01/2018;04/05/2020;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;495000000;7860
722779439;04/01/2018;15/06/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-49,03079853;7841
722779441;04/01/2018;18/06/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-80,9239548;7841
722779453;04/01/2018;02/07/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-338,0954503;7841
722779459;04/01/2018;09/07/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-82,3251118;7829
722779461;04/01/2018;09/07/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-95,5047045;7841
722779462;04/01/2018;11/07/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;160,3570504;7841
722779463;04/01/2018;11/07/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-160,3570504;7829
722779466;04/01/2018;24/03/2020;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;0,26012815;7829
722779471;04/01/2018;27/03/2020;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-2,76747183;7829
722779483;04/01/2018;30/03/2020;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-0,055134;7829
722779484;04/01/2018;30/03/2020;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-0,02034116;7829
722779496;04/01/2018;06/04/2020;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;1,747003615;7829
722779497;04/01/2018;06/04/2020;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;1,004035255;7829
722779502;04/01/2018;06/04/2020;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-0,01527258;7829
722779518;04/01/2018;13/04/2020;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-0,142493405;7829
722779526;04/01/2018;20/04/2020;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-0,08431813;7829
722779530;04/01/2018;11/09/2020;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;84,5225429;7829
722779540;04/01/2018;16/09/2020;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;18,76975527;7829
722779551;04/01/2018;21/09/2020;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-3,20617569;7829
722779564;04/01/2018;29/09/2020;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;10,49319409;7829
722779569;04/01/2018;01/10/2020;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-6,655310255;7829
722779578;04/01/2018;08/10/2020;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;2,052836405;7829
722779594;04/01/2018;15/08/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-2338,92762;14196
722779597;04/01/2018;15/08/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-6,965436175;7829
722779601;04/01/2018;15/08/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-2220,547291;7829
722779603;04/01/2018;15/08/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-2588,0164;14196
722779640;04/01/2018;15/08/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-6,270900945;7829
722779643;04/01/2018;15/08/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-2512,393329;14196
722778836;04/01/2018;03/08/2020;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;495000000;7860
722778845;04/01/2018;01/06/2020;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;495000000;7829
722778850;04/01/2018;01/09/2020;empaaa;mesabbb;estaaa;centaaa;gestaaa;subaaa;subphhh;carac;cdat;-495000000;7829
722779396;04/01/2018;14/05/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;502,6617305;7829
722779401;04/01/2018;17/05/2018;empddd;mesaccc;estaaa;centaaa;gestaaa;subaaa;subpoooo;carac;cdat;-96,7254275;7841
